LE07_L1TP_018007_20000601_20170211_01_T1	LE70180072000153SGS00
LE07_L1TP_019007_20000523_20170211_01_T1	LE70190072000144KIS00
LE07_L1TP_018007_20000516_20170211_01_T1	LE70180072000137EDC00
LE07_L1TP_019007_20000507_20170212_01_T1	LE70190072000128EDC00
LE07_L1TP_021007_20000505_20170212_01_T1	LE70210072000126EDC00
LE07_L1TP_020007_20000428_20170212_01_T1	LE70200072000119EDC00
LE07_L1TP_022007_20000426_20170212_01_T1	LE70220072000117EDC00
LE07_L1TP_018007_20000414_20170212_01_T1	LE70180072000105EDC00
LE07_L1TP_021007_20000403_20170212_01_T1	LE70210072000094KIS00
LE07_L1TP_022006_20000325_20170212_01_T1	LE70220062000085EDC00
LE07_L1TP_022007_20000325_20170212_01_T1	LE70220072000085EDC00
LE07_L1TP_020007_20000311_20170213_01_T1	LE70200072000071KIS00
LE07_L1TP_021007_20000302_20170213_01_T1	LE70210072000062KIS00
LE07_L1TP_020007_19991003_20170216_01_T1	LE70200071999276EDC00
LE07_L1TP_019007_19990809_20170218_01_T1	LE70190071999221EDC01
