ID;LAT;LON;New Greenlandic name;Old Greenlandic name;Foreign name;Official name;Alternative names;RGI_ID;GLIMS_ID;RGI_CEN_LON;RGI_CEN_LAT;Type
GGN0665;78,1761;-72,6796; ; ;Dodge Gletsjer;Dodge Gletsjer; ;;;;;GrIS
GGN0666;78,2833;-21,5833; ; ;Blæsebræ;Blæsebræ; ;;;;;GrIS
GGN0667;78,2834;-72,2654; ; ;Brother John Gletsjer;Brother John Gletsjer;;;;;;GrIS
GGN0668;78,6778;-21,4834; ; ;Gammel Hellerup Gletsjer;Gammel Hellerup Gletsjer; ;;;;;GrIS
GGN0669;78,8203;-67,0518; ; ;Hiawatha Gletsjer;Hiawatha Gletsjer;;;;;;GrIS
GGN0670;78,9333;-21; ; ;Zachariae Isstrøm;Zachariae Isstrøm; ;;;;;GrIS
GGN0671;79,4462;-63,3957;Sermersuaq;Sermerssuaq;Humboldt Gletsjer;Sermersuaq;;;;;;GrIS
GGN0672;79,7113;-20,2928; ; ;Spaltegletsjer;Spaltegletsjer; ;;;;;GrIS
GGN0673;80,2059;-16,8321; ; ;Depotgletsjer;Depotgletsjer; ;RGI40-05.09997;G343249E80231N;-16,7508;80,2313;LGIC
GGN0674;80,2224;-16,6659; ; ;Mallemukgletsjer;Mallemukgletsjer; ;RGI40-05.09997;G343249E80231N;-16,7508;80,2313;LGIC
GGN0675;80,3167;-19,9; ; ;Aage Bertelsen Gletsjer;Aage Bertelsen Gletsjer; ;RGI40-05.09937;G339749E80313N;-20,2507;80,3125;LGIC
GGN0676;80,4605;-16,6279; ; ;Mågegletsjer;Mågegletsjer; ;RGI40-05.09992;G343355E80425N;-16,6451;80,4253;LGIC
GGN0677;80,4951;-18,94; ; ;Brede Spærregletsjer;Brede Spærregletsjer; ;RGI40-05.09915;G340801E80458N;-19,1988;80,4576;LGIC
GGN0678;80,5712;-19,3767; ; ;Dråbegletsjer;Dråbegletsjer; ;RGI40-05.09919;G340571E80575N;-19,4290;80,5754;LGIC
GGN0679;80,5833;-60,05; ; ;Petermann Gletsjer;Petermann Gletsjer;;;;;;GrIS
GGN0680;80,6176;-18,072; ; ;Bjørnegletsjer;Bjørnegletsjer; ;RGI40-05.10324;G341927E80608N;-18,0728;80,6077;LGIC
GGN0681;80,6336;-18,6443; ; ;Smalle Spærregletsjer;Smalle Spærregletsjer; ;RGI40-05.10352;G341418E80693N;-18,5820;80,6934;LGIC
GGN0682;80,6742;-19,4168; ; ;Hjørnegletsjer;Hjørnegletsjer; ;RGI40-05.10347;G340822E80748N;-19,1776;80,7481;LGIC
GGN0683;80,7171;-59,2811; ; ;Porsild Gletsjer;Porsild Gletsjer;;;;;;GrIS
GGN0684;80,7622;-17,473; ; ;Tobias Gletsjer;Tobias Gletsjer; ;RGI40-05.10361;G341865E80809N;-18,1354;80,8087;LGIC
GGN0685;80,8179;-60,0525; ; ;Sigurd Berg Gletsjer;Sigurd Berg Gletsjer;;;;;;GrIS
GGN0686;80,8651;-61,7795; ; ;Cecil Gletsjer;Cecil Gletsjer;;RGI40-05.08445;G297905E80883N;-62,0950;80,8825;LGIC
GGN0687;80,9504;-61,8693; ; ;Faith Gletsjer;Faith Gletsjer;;RGI40-05.08443;G297605E81009N;-62,3950;81,0091;LGIC
GGN0688;80,9835;-60,6321; ; ;Hubert Gletsjer;Hubert Gletsjer;;;;;;GrIS
GGN0689;81,0404;-60,8206; ; ;Belgrave Gletsjer;Belgrave Gletsjer;;;;;;GrIS
GGN0690;81,058;-62,19; ; ;Edith Gletsjer;Edith Gletsjer;;RGI40-05.08443;G297605E81009N;-62,3950;81,0091;LGIC
GGN0691;81,0778;-62,4186; ; ;Constance Gletsjer;Constance Gletsjer;Constance Gletscher;RGI40-05.08443;G297605E81009N;-62,3950;81,0091;LGIC
GGN0692;81,3333;-16,9667; ; ;Marsk Stig Bræ;Marsk Stig Bræ; ;RGI40-05.10315;G344790E81287N;-15,2101;81,2869;LGIC
GGN0693;81,3833;-54,0333; ; ;Steensby Gletsjer;Steensby Gletsjer;;;;;;GrIS
GGN0694;81,45;-27,35; ; ;Hagen Bræ;Hagen Bræ; ;;;;;GrIS
GGN0695;81,5333;-14,7334; ; ;Flade Isblink;Flade Isblink; ;RGI40-05.10315;G344790E81287N;-15,2101;81,2869;LGIC
GGN0696;81,5449;-45,3668; ; ;C.H. Ostenfeld Gletsjer;C.H. Ostenfeld Gletsjer;;;;;;GrIS
GGN0697;81,55;-50,25; ; ;Ryder Gletsjer;Ryder Gletsjer;;;;;;GrIS
GGN0698;81,5667;-32,25; ; ;Academy GGletsjer;Academy GGletsjer; ;;;;;GrIS
GGN0699;81,7333;-35,6667; ; ;Nyeboe Gletsjer;Nyeboe Gletsjer; ;;;;;GrIS
GGN0700;81,7742;-44,445; ; ;Harder Gletsjer;Harder Gletsjer; ;;;;;GrIS
GGN0701;81,7833;-34,5; ; ;Marie Sophie Gletsjer;Marie Sophie Gletsjer; ;;;;;GrIS
GGN0702;81,9;-36; ; ;Hobbs Gletsjer;Hobbs Gletsjer; ;;;;;GrIS
GGN0703;81,9167;-29,1667; ; ;Hestetunge Bræ;Hestetunge Bræ; ;RGI40-05.10312;G331215E81911N;-28,7849;81,9112;LGIC
GGN0704;81,95;-29,1333; ; ;Hugh Lee Bræ;Hugh Lee Bræ; ;RGI40-05.10312;G331215E81911N;-28,7849;81,9112;LGIC
GGN0705;81,95;-28,7833; ; ;Josephine Bræ;Josephine Bræ; ;RGI40-05.10312;G331215E81911N;-28,7849;81,9112;LGIC
GGN0706;82,1167;-38,6667; ; ;Astrup Bræ;Astrup Bræ; ;;;;;GrIS
GGN0707;82,1262;-42,6552; ; ;Jungersen Gletsjer;Jungersen Gletsjer;;;;;;GrIS
GGN0708;82,2021;-39,9639; ; ;Adams Gletsjer;Adams Gletsjer;;;;;;GrIS
GGN0709;82,2459;-40,7836; ; ;Ekspedition Bræ ;Ekspedition Bræ ;Henson Gletsjer;;;;;GrIS
GGN0710;82,4833;-40,3333; ; ;Inukitsaq Gletsjer;Inukitsaq Gletsjer; ;RGI40-05.10755;G319949E82483N;-40,0514;82,4827;LGIC
GGN0711;82,5542;-40,3068; ; ;Aajaku Gletsjer;Aajaku Gletsjer;;RGI40-05.10736;G320012E82531N;-39,9880;82,5309;LGIC
GGN0712;82,5647;-38,8078; ; ;Persuaq Gletsjer;Persuaq Gletsjer; ;RGI40-05.10748;G321124E82566N;-38,8762;82,5656;LGIC
GGN0713;82,6333;-36,3333; ; ;Ymer Gletsjer;Ymer Gletsjer;;RGI40-05.10747;G323244E82655N;-36,7557;82,6546;LGIC
GGN0714;82,6833;-39,4167; ; ;Lurgletscher;Lurgletscher; ;RGI40-05.10748;G321124E82566N;-38,8762;82,5656;LGIC
GGN0715;82,7937;-38,5; ; ;Tjalfe Gletsjer;Tjalfe Gletsjer;;RGI40-05.10749;G322065E82674N;-37,9353;82,6735;LGIC
GGN0716;82,9;-35,3333; ; ;Sleipner Bræ;Sleipner Bræ; ;RGI40-05.10683;G324663E82878N;-35,3367;82,8783;LGIC
GGN0717;82,9119;-31,9207; ; ;Balder Gletsjer;Balder Gletsjer;;RGI40-05.10862;G328441E82854N;-31,5587;82,8540;LGIC
GGN0718;83,0178;-45,369; ; ;Buys-Ballot Gletsjer;Buys-Ballot Gletsjer;;RGI40-05.10607;G314965E83009N;-45,0348;83,0089;LGIC
GGN0719;83,0594;-31,058; ; ;Gefion Bræ;Gefion Bræ; ;RGI40-05.10844;G329178E83012N;-30,8218;83,0117;LGIC
GGN0720;83,1638;-36,9626; ; ;Dreng Bræ;Dreng Bræ; ;RGI40-05.10988;G322874E83240N;-37,1259;83,2401;LGIC
GGN0721;83,2333;-33,3333; ; ;Sif Gletsjer;Sif Gletsjer;;RGI40-05.10893;G326894E83267N;-33,1058;83,2673;LGIC
GGN0722;83,2714;-33,9225; ; ;Nysne Gletsjer;Nysne Gletsjer; ;RGI40-05.11024;G326293E83301N;-33,7075;83,3008;LGIC
GGN0723;83,3165;-28,4146; ; ;Ydun Gletsjer;Ydun Gletsjer; ;RGI40-05.11042;G331745E83306N;-28,2549;83,3059;LGIC
GGN0724;83,3167;-34,25; ; ;Sydgletsjer;Sydgletsjer; ;RGI40-05.10959;G325843E83366N;-34,1573;83,3658;LGIC
GGN0725;83,3232;-34,5818; ; ;Modvindgletsjer;Modvindgletsjer; ;RGI40-05.10959;G325843E83366N;-34,1573;83,3658;LGIC
GGN0726;83,3633;-38,5602; ; ;Thomas Gletsjer;Thomas Gletsjer; ;RGI40-05.10957;G321679E83360N;-38,3207;83,3603;LGIC
GGN0727;83,3863;-34,2573; ; ;Malcantone Gletsjer;Malcantone Gletsjer; ;RGI40-05.10959;G325843E83366N;-34,1573;83,3658;LGIC
GGN0728;83,4091;-29,604; ; ;Borup Gletsjer;Borup Gletsjer;;RGI40-05.11037;G330072E83405N;-29,9281;83,4054;LGIC
GGN0729;83,4213;-36,7822; ; ;A. Harmsworth Gletsjer;A. Harmsworth Gletsjer;;RGI40-05.11001;G323832E83396N;-36,1684;83,3962;LGIC
GGN0730;83,4376;-28,502; ; ;Moore Gletsjer;Moore Gletsjer;;RGI40-05.11026;G331489E83400N;-28,5111;83,4004;LGIC
GGN0731;83,45;-34,3333; ; ;MacMillan Gletsjer;MacMillan Gletsjer; ;RGI40-05.10889;G325659E83447N;-34,3414;83,4473;LGIC
GGN0732;83,4532;-27,6277; ; ;Bertelsen Gletsjer;Bertelsen Gletsjer;;RGI40-05.11025;G332052E83445N;-27,9484;83,4452;LGIC
GGN0733;83,4589;-34,7222; ; ;Nordgletsjer;Nordgletsjer; ;RGI40-05.10887;G325109E83418N;-34,8915;83,4182;LGIC
