ID;LAT;LON;New Greenlandic name;Old Greenlandic name;Foreign name;Official name;Alternative names;RGI_ID;GLIMS_ID;RGI_CEN_LON;RGI_CEN_LAT;Type
GGN0528;74,4007;-21,0768; ; ;Balmunggletsjer;Balmunggletsjer; ;RGI40-05.19999;G338904E74401N;-21,0963;74,4006;LGIC
GGN0529;74,4167;-55,9666;Illullip Sermia;Igdlugdlip Sermia; ;Illullip Sermia; ;;;;;GrIS
GGN0530;74,6;-22,2667; ; ;Copeland Gletsjer;Copeland Gletsjer; ;RGI40-05.20038;G337563E74561N;-22,4373;74,5610;LGIC
GGN0531;74,6232;-56,2193;Nunatakassaap Sermia;Nunatakavsaup Sermia; ;Nunatakassaap Sermia; ;;;;;GrIS
GGN0532;74,6333;-22,2667; ; ;Kløftgletsjer;Kløftgletsjer; ;RGI40-05.20042;G337651E74611N;-22,3489;74,6111;LGIC
GGN0533;74,6667;-22,1; ; ;Stejlgletsjer;Stejlgletsjer; ;RGI40-05.20097;G337922E74678N;-22,0780;74,6779;LGIC
GGN0534;74,6833;-22,5833; ; ;Pasterze;Pasterze; ;;;;;GrIS
GGN0535;74,7;-22,4667; ; ;Grifgletsjer;Grifgletsjer; ;;;;;GrIS
GGN0536;74,7;-21,8; ; ;Trinity Gletsjer;Trinity Gletsjer; ;RGI40-05.20092;G338195E74672N;-21,8055;74,6719;LGIC
GGN0537;74,7167;-22; ; ;Barriere Gletsjer;Barriere Gletsjer; ;RGI40-05.20096;G338005E74703N;-21,9948;74,7027;LGIC
GGN0538;74,8667;-22,5; ; ;Tvegegletsjer;Tvegegletsjer; ;;;;;GrIS
GGN0539;74,9618;-57,0355;Tuttulikassaap Sermia; ;Hayes Gletsjer;Tuttulikassaap Sermia; ;;;;;GrIS
GGN0540;75,0996;-57,5723; ; ;Kjer Gletsjer;Kjer Gletsjer; ;;;;;GrIS
GGN0541;75,1596;-22,8267; ; ;Heinkel Gletsjer;Heinkel Gletsjer; ;;;;;GrIS
GGN0542;75,3167;-57,8333;Sermersuaq;Sermerssuaq;Steenstrup Gletsjer;Sermersuaq; ;;;;;GrIS
GGN0543;75,4531;-22,7266; ; ;Canongletsjer;Canongletsjer; ;;;;;GrIS
GGN0544;75,4582;-58,0637; ; ;Dietrichson Gletsjer;Dietrichson Gletsjer; ;;;;;GrIS
GGN0545;75,564;-22,6295; ; ;Stejlgletsjer;Stejlgletsjer; ;;;;;GrIS
GGN0546;75,6195;-57,9704; ; ;Sverdrup Gletsjer;Sverdrup Gletsjer; ;;;;;GrIS
GGN0547;75,6833;-22,75; ; ;Stormgletsjer;Stormgletsjer; ;;;;;GrIS
GGN0548;75,6833;-22,5; ; ;Ejnar Mikkelsen Gletsjer;Ejnar Mikkelsen Gletsjer; ;;;;;GrIS
GGN0549;75,7759;-58,8283; ; ;Nansen Gletsjer;Nansen Gletsjer; ;;;;;GrIS
GGN0550;75,8248;-59,0399; ; ;Nordenskiöld Gletsjer;Nordenskiöld Gletsjer; ;;;;;GrIS
GGN0551;75,9394;-66,5167;Sermipaluk;Sermipaluk; ;Sermipaluk;Hermipaluk;RGI40-05.07597;G293495E75933N;-66,5047;75,9332;LGIC
GGN0552;75,9876;-22,3788; ; ;Lillegletsjer;Lillegletsjer; ;;;;;GrIS
GGN0553;75,989;-59,8575;Nuussuup Sermia;Nûgssûp Sermia;Kong Oscar Gletsjer;Nuussuup Sermia; ;;;;;GrIS
GGN0554;76,0167;-23,3; ; ;L. Bistrup Bræ;L. Bistrup Bræ; ;;;;;GrIS
GGN0555;76,0473;-65,5518;Sermipaluk;Sermipaluk; ;Sermipaluk;Hermipaluk;RGI40-05.07624;G294491E76127N;-65,5086;76,1267;LGIC
GGN0556;76,0655;-65,6468;Kumaat Sermiat; ; ;Kumaat Sermiat;Kumait Hermiat;RGI40-05.07624;G294491E76127N;-65,5086;76,1267;LGIC
GGN0557;76,0667;-60,6333;Issuusarsuit Sermiat;Igssûssarssuit Sermiat; ;Issuusarsuit Sermiat; ;;;;;GrIS
GGN0558;76,0912;-68,2097;Appakkooriaq;Sermipaluk; ;Appakkooriaq;Sermipaluk;RGI40-05.07697;G291951E76111N;-68,0489;76,1110;LGIC
GGN0559;76,0941;-67,7789;Nasersorfik;Nagssersorfik; ;Nasersorfik;"Nassersorfik; Naherhorvik";RGI40-05.07787;G292660E76080N;-67,3399;76,0797;LGIC
GGN0560;76,1167;-60,3999; ; ;Peary Gletsjer;Peary Gletsjer; ;;;;;GrIS
GGN0561;76,15;-24,5; ; ;A.B. Drachmann Gletsjer;A.B. Drachmann Gletsjer; ;;;;;GrIS
GGN0562;76,1555;-68,2844; ; ;Neptune Gletsjer;Neptune Gletsjer; ;RGI40-05.07715;G291776E76147N;-68,2244;76,1474;LGIC
