LE07_L1TP_013009_20080823_20161225_01_T1	LE70130092008236EDC00
LE07_L1TP_013009_20080807_20161225_01_T1	LE70130092008220EDC00
LE07_L1TP_014009_20080729_20161225_01_T1	LE70140092008211ASN00
LE07_L1TP_012009_20080715_20161225_01_T1	LE70120092008197ASN00
LE07_L1TP_012010_20080715_20161228_01_T1	LE70120102008197ASN00
LE07_L1TP_011010_20080708_20161228_01_T1	LE70110102008190ASN00
LE07_L1TP_012009_20080629_20161228_01_T1	LE70120092008181EDC00
LE07_L1TP_011010_20080622_20161228_01_T1	LE70110102008174EDC00
LE07_L1TP_013009_20080620_20161228_01_T1	LE70130092008172EDC00
LE07_L1TP_013009_20080604_20161228_01_T1	LE70130092008156EDC00
LE07_L1TP_012010_20080528_20161229_01_T1	LE70120102008149EDC00
LE07_L1TP_011010_20080521_20161229_01_T1	LE70110102008142EDC00
LE07_L1TP_012009_20080512_20161229_01_T2	LE70120092008133EDC00
LE07_L1TP_014009_20080510_20161229_01_T1	LE70140092008131EDC00
LE07_L1TP_013009_20080503_20161229_01_T1	LE70130092008124EDC00
LE07_L1TP_014009_20080424_20161229_01_T1	LE70140092008115EDC01
LE07_L1TP_013009_20080401_20161229_01_T1	LE70130092008092EDC02
LE07_L1TP_011010_20070924_20170102_01_T1	LE70110102007267EDC00
LE07_L1TP_012009_20070915_20170101_01_T1	LE70120092007258EDC00
LE07_L1TP_012010_20070915_20170102_01_T1	LE70120102007258EDC00
LE07_L1TP_013009_20070906_20170101_01_T1	LE70130092007249ASN00
LE07_L1TP_013009_20070805_20170102_01_T1	LE70130092007217EDC00
LE07_L1TP_014009_20070711_20170103_01_T1	LE70140092007192ASN00
LE07_L1TP_012009_20070627_20170103_01_T1	LE70120092007178ASN00
LE07_L1TP_012010_20070627_20170102_01_T1	LE70120102007178ASN00
LE07_L1TP_011010_20070604_20170103_01_T1	LE70110102007155EDC00
LE07_L1TP_013009_20070602_20170103_01_T1	LE70130092007153EDC00
LE07_L1TP_014009_20070524_20170103_01_T1	LE70140092007144ASN00
LE07_L1TP_013009_20070517_20170103_01_T1	LE70130092007137ASN00
LE07_L1TP_011010_20070503_20170103_01_T1	LE70110102007123EDC00
LE07_L1TP_012009_20070424_20170103_01_T1	LE70120092007114EDC00
LE07_L1TP_012010_20070424_20170103_01_T1	LE70120102007114EDC00
LE07_L1TP_011010_20070417_20170104_01_T1	LE70110102007107EDC00
LE07_L1TP_012009_20070408_20170104_01_T1	LE70120092007098EDC00
LE07_L1TP_012010_20070408_20170104_01_T1	LE70120102007098EDC00
LE07_L1TP_014009_20070406_20170104_01_T1	LE70140092007096EDC00
LE07_L1TP_012010_20070323_20170104_01_T1	LE70120102007082ASN00
LE07_L1TP_012010_20070307_20170104_01_T1	LE70120102007066EDC00
LE07_L1TP_012009_20060928_20170106_01_T1	LE70120092006271EDC00
LE07_L1TP_012010_20060928_20170106_01_T1	LE70120102006271EDC00
LE07_L1TP_014009_20060926_20170106_01_T1	LE70140092006269EDC01
LE07_L1TP_013009_20060919_20170107_01_T1	LE70130092006262EDC00
LE07_L1TP_012010_20060912_20170107_01_T1	LE70120102006255EDC00
