LC08_L1TP_008011_20190507_20190521_01_T1	LC80080112019127LGN00
LC08_L1TP_008012_20190507_20190521_01_T1	LC80080122019127LGN00
LC08_L1TP_009011_20190428_20190508_01_T1	LC80090112019118LGN00
LC08_L1TP_010011_20190419_20190423_01_T1	LC80100112019109LGN00
LC08_L1TP_008012_20190320_20190326_01_T1	LC80080122019079LGN00
LC08_L1TP_010011_20190318_20190325_01_T1	LC80100112019077LGN00
LC08_L1TP_009011_20190311_20190325_01_T1	LC80090112019070LGN00
LC08_L1TP_008012_20190304_20190309_01_T1	LC80080122019063LGN00
LC08_L1TP_008012_20190216_20190222_01_T1	LC80080122019047LGN00
LC08_L1TP_009011_20190207_20190221_01_T1	LC80090112019038LGN00
LC08_L1TP_010011_20181025_20181114_01_T1	LC80100112018298LGN00
LC08_L1TP_009011_20181018_20181031_01_T1	LC80090112018291LGN00
LC08_L1TP_008011_20181011_20181030_01_T1	LC80080112018284LGN00
LC08_L1TP_008012_20181011_20181030_01_T1	LC80080122018284LGN00
LC08_L1TP_009011_20180916_20180928_01_T1	LC80090112018259LGN00
LC08_L1TP_010011_20180907_20180912_01_T1	LC80100112018250LGN00
LC08_L1TP_008011_20180824_20180829_01_T1	LC80080112018236LGN00
LC08_L1TP_008012_20180824_20180829_01_T1	LC80080122018236LGN00
LC08_L1TP_009011_20180730_20180814_01_T1	LC80090112018211LGN00
LC08_L1TP_082233_20180729_20180814_01_T1	LC80822332018210LGN00
LC08_L1TP_010011_20180721_20180731_01_T1	LC80100112018202LGN00
LC08_L1TP_008011_20180707_20180717_01_T1	LC80080112018188LGN00
LC08_L1TP_008012_20180707_20180717_01_T1	LC80080122018188LGN00
LC08_L1TP_082233_20180627_20180704_01_T1	LC80822332018178LGN00
LC08_L1TP_009011_20180612_20180615_01_T1	LC80090112018163LGN00
LC08_L1TP_082233_20180611_20180615_01_T1	LC80822332018162LGN00
LC08_L1TP_008011_20180520_20180605_01_T1	LC80080112018140LGN00
LC08_L1TP_009011_20180511_20180517_01_T1	LC80090112018131LGN00
LC08_L1TP_008011_20180418_20180501_01_T1	LC80080112018108LGN00
LC08_L1TP_010011_20180416_20180501_01_T1	LC80100112018106LGN00
LC08_L1TP_009011_20180409_20180417_01_T1	LC80090112018099LGN00
LC08_L1TP_008011_20180402_20180416_01_T1	LC80080112018092LGN00
LC08_L1TP_008012_20180402_20180416_01_T1	LC80080122018092LGN00
LC08_L1TP_010011_20180331_20180405_01_T1	LC80100112018090LGN00
LC08_L1TP_009011_20180324_20180404_01_T1	LC80090112018083LGN00
LC08_L1TP_008011_20180317_20180403_01_T1	LC80080112018076LGN00
LC08_L1TP_010011_20180227_20180308_01_T1	LC80100112018058LGN00
LC08_L1TP_008011_20180213_20180222_01_T1	LC80080112018044LGN00
LC08_L1TP_008012_20180213_20180222_01_T1	LC80080122018044LGN00
LC08_L1TP_009011_20171031_20171109_01_T1	LC80090112017304LGN00
LC08_L1TP_008011_20171024_20171107_01_T1	LC80080112017297LGN00
LC08_L1TP_008012_20171024_20171107_01_T1	LC80080122017297LGN00
LC08_L1TP_009011_20171015_20171024_01_T1	LC80090112017288LGN00
LC08_L1TP_008011_20171008_20171023_01_T1	LC80080112017281LGN00
LC08_L1TP_008012_20171008_20171023_01_T1	LC80080122017281LGN00
