LC08_L1TP_019007_20160527_20170324_01_T1	LC80190072016148LGN01
LC08_L1TP_078238_20160524_20170324_01_T1	LC80782382016145LGN01
LC08_L1TP_022006_20160516_20170324_01_T1	LC80220062016137LGN01
LC08_L1TP_022007_20160516_20170324_01_T1	LC80220072016137LGN01
LC08_L1TP_019007_20160511_20170324_01_T1	LC80190072016132LGN01
LC08_L1TP_018007_20160504_20170325_01_T1	LC80180072016125LGN01
LC08_L1TP_020007_20160416_20170326_01_T1	LC80200072016107LGN01
LC08_L1TP_018007_20160402_20170327_01_T1	LC80180072016093LGN01
LC08_L1TP_020007_20160331_20170327_01_T1	LC80200072016091LGN01
LC08_L1TP_022006_20160329_20170327_01_T1	LC80220062016089LGN01
LC08_L1TP_019007_20160324_20170327_01_T1	LC80190072016084LGN01
LC08_L1TP_022006_20160313_20180130_01_T1	LC80220062016073LGN02
LC08_L1TP_019007_20160308_20170328_01_T1	LC80190072016068LGN01
LC08_L1TP_020007_20160228_20170329_01_T1	LC80200072016059LGN01
LC08_L1TP_022006_20160226_20170329_01_T1	LC80220062016057LGN01
LC08_L1TP_022007_20160226_20170329_01_T1	LC80220072016057LGN01
LC08_L1TP_018007_20151009_20180130_01_T1	LC80180072015282LGN02
LC08_L1TP_022007_20151005_20170403_01_T1	LC80220072015278LGN01
LC08_L1TP_018007_20150923_20170403_01_T1	LC80180072015266LGN01
LC08_L1TP_020007_20150921_20170404_01_T1	LC80200072015264LGN01
LC08_L1TP_022006_20150919_20180130_01_T1	LC80220062015262LGN02
LC08_L1TP_022007_20150919_20180130_01_T1	LC80220072015262LGN02
LC08_L1TP_019007_20150914_20170404_01_T1	LC80190072015257LGN01
LC08_L1TP_018007_20150907_20170404_01_T1	LC80180072015250LGN01
LC08_L1TP_020007_20150905_20170404_01_T1	LC80200072015248LGN01
LC08_L1TP_022006_20150903_20170404_01_T1	LC80220062015246LGN01
LC08_L1TP_022007_20150903_20170404_01_T1	LC80220072015246LGN01
LC08_L1TP_021007_20150827_20170405_01_T1	LC80210072015239LGN01
LC08_L1TP_018007_20150822_20170405_01_T1	LC80180072015234LGN01
LC08_L1TP_020007_20150820_20170405_01_T1	LC80200072015232LGN01
LC08_L1TP_019007_20150813_20170406_01_T1	LC80190072015225LGN01
LC08_L1TP_021007_20150811_20170406_01_T1	LC80210072015223LGN01
LC08_L1TP_020007_20150804_20170406_01_T1	LC80200072015216LGN01
LC08_L1TP_019007_20150728_20170406_01_T1	LC80190072015209LGN01
LC08_L1TP_018007_20150721_20170406_01_T1	LC80180072015202LGN01
LC08_L1TP_020007_20150719_20170406_01_T1	LC80200072015200LGN01
LC08_L1TP_022006_20150717_20170406_01_T1	LC80220062015198LGN01
LC08_L1TP_022007_20150717_20170406_01_T1	LC80220072015198LGN01
LC08_L1TP_021007_20150710_20170407_01_T1	LC80210072015191LGN01
LC08_L1TP_018007_20150705_20170407_01_T1	LC80180072015186LGN01
LC08_L1TP_018007_20150619_20170407_01_T1	LC80180072015170LGN01
LC08_L1TP_022006_20150615_20170407_01_T1	LC80220062015166LGN01
LC08_L1TP_018007_20150603_20170408_01_T1	LC80180072015154LGN01
LC08_L1TP_020007_20150601_20170408_01_T1	LC80200072015152LGN01
LC08_L1TP_022006_20150530_20170408_01_T1	LC80220062015150LGN01
LC08_L1TP_022007_20150530_20170408_01_T1	LC80220072015150LGN01
LC08_L1TP_019007_20150525_20170408_01_T1	LC80190072015145LGN01
LC08_L1TP_018007_20150518_20170409_01_T1	LC80180072015138LGN01
LC08_L1TP_022006_20150514_20170409_01_T1	LC80220062015134LGN01
LC08_L1TP_018007_20150502_20180129_01_T1	LC80180072015122LGN02
