LC08_L1TP_013009_20160704_20170323_01_T1	LC80130092016186LGN01
LC08_L1TP_083234_20160629_20170323_01_T1	LC80832342016181LGN01
LC08_L1TP_012009_20160627_20170323_01_T1	LC80120092016179LGN01
LC08_L1TP_011010_20160620_20170323_01_T1	LC80110102016172LGN01
LC08_L1TP_014009_20160609_20170324_01_T1	LC80140092016161LGN01
LC08_L1TP_082234_20160606_20180202_01_T1	LC80822342016158LGN02
LC08_L1TP_082235_20160606_20180202_01_T1	LC80822352016158LGN02
LC08_L1TP_013009_20160602_20170324_01_T1	LC80130092016154LGN01
LC08_L1TP_012009_20160526_20170324_01_T1	LC80120092016147LGN01
LC08_L1TP_014009_20160524_20170324_01_T1	LC80140092016145LGN01
LC08_L1TP_012009_20160510_20170325_01_T1	LC80120092016131LGN01
LC08_L1TP_014009_20160508_20170325_01_T1	LC80140092016129LGN01
LC08_L1TP_011010_20160503_20170325_01_T1	LC80110102016124LGN01
LC08_L1TP_011010_20160417_20180130_01_T1	LC80110102016108LGN02
LC08_L1TP_014009_20160406_20170327_01_T1	LC80140092016097LGN01
LC08_L1TP_013009_20160330_20170327_01_T1	LC80130092016090LGN01
LC08_L1TP_012009_20160323_20170327_01_T1	LC80120092016083LGN01
LC08_L1TP_012010_20160323_20170327_01_T1	LC80120102016083LGN01
LC08_L1TP_014009_20160321_20170327_01_T1	LC80140092016081LGN01
LC08_L1TP_012010_20160307_20170328_01_T1	LC80120102016067LGN01
LC08_L1TP_011010_20160229_20170328_01_T1	LC80110102016060LGN01
LC08_L1TP_011010_20151008_20170403_01_T1	LC80110102015281LGN01
LC08_L1TP_013009_20151006_20170403_01_T1	LC80130092015279LGN01
LC08_L1TP_012009_20150913_20170404_01_T1	LC80120092015256LGN01
LC08_L1TP_012010_20150913_20170404_01_T1	LC80120102015256LGN01
LC08_L1TP_014009_20150911_20170404_01_T1	LC80140092015254LGN01
LC08_L1TP_011010_20150906_20170404_01_T1	LC80110102015249LGN01
LC08_L1TP_014009_20150826_20170405_01_T1	LC80140092015238LGN01
LC08_L1TP_011010_20150805_20170406_01_T1	LC80110102015217LGN01
LC08_L1TP_012009_20150727_20170406_01_T1	LC80120092015208LGN01
LC08_L1TP_012010_20150727_20170406_01_T1	LC80120102015208LGN01
LC08_L1TP_011010_20150720_20170406_01_T1	LC80110102015201LGN01
LC08_L1TP_013009_20150718_20170406_01_T1	LC80130092015199LGN01
LC08_L1TP_012009_20150711_20170407_01_T1	LC80120092015192LGN01
LC08_L1TP_012010_20150711_20170407_01_T1	LC80120102015192LGN01
LC08_L1TP_014009_20150709_20170407_01_T1	LC80140092015190LGN01
LC08_L1TP_011010_20150704_20170407_01_T1	LC80110102015185LGN01
LC08_L1TP_013009_20150702_20170407_01_T1	LC80130092015183LGN01
LC08_L1TP_011010_20150618_20170407_01_T1	LC80110102015169LGN01
LC08_L1TP_014009_20150607_20170408_01_T1	LC80140092015158LGN01
LC08_L1TP_011010_20150602_20170408_01_T1	LC80110102015153LGN01
LC08_L1TP_013009_20150531_20170408_01_T1	LC80130092015151LGN01
LC08_L1TP_012009_20150524_20170408_01_T1	LC80120092015144LGN01
LC08_L1TP_012010_20150524_20170408_01_T1	LC80120102015144LGN01
LC08_L1TP_014009_20150522_20170408_01_T1	LC80140092015142LGN01
LC08_L1TP_011009_20150501_20170409_01_T1	LC80110092015121LGN01
LC08_L1TP_011010_20150501_20170409_01_T1	LC80110102015121LGN01
LC08_L1TP_012009_20150422_20170409_01_T1	LC80120092015112LGN01
LC08_L1TP_014009_20150420_20170409_01_T1	LC80140092015110LGN01
LC08_L1TP_014009_20150404_20170411_01_T1	LC80140092015094LGN01
LC08_L1TP_011010_20150330_20170411_01_T1	LC80110102015089LGN01
LC08_L1TP_013009_20150328_20170411_01_T1	LC80130092015087LGN01
LC08_L1TP_014009_20150319_20180130_01_T1	LC80140092015078LGN02
LC08_L1TP_011010_20150226_20170412_01_T1	LC80110102015057LGN01
LC08_L1TP_014009_20150215_20170412_01_T1	LC80140092015046LGN01
