LC08_L1TP_024006_20170704_20170716_01_T1	LC80240062017185LGN00
LC08_L1TP_026006_20170702_20170715_01_T1	LC80260062017183LGN00
LC08_L1TP_023006_20170627_20170714_01_T1	LC80230062017178LGN00
LC08_L1TP_022006_20170620_20170630_01_T1	LC80220062017171LGN00
LC08_L1TP_026006_20170616_20170629_01_T1	LC80260062017167LGN00
LC08_L1TP_023006_20170611_20170628_01_T1	LC80230062017162LGN00
LC08_L1TP_025006_20170524_20170614_01_T1	LC80250062017144LGN00
LC08_L1TP_026006_20170515_20170525_01_T1	LC80260062017135LGN00
LC08_L1TP_024006_20170501_20170515_01_T1	LC80240062017121LGN00
LC08_L1TP_026006_20170429_20170515_01_T1	LC80260062017119LGN00
LC08_L1TP_023006_20170424_20170502_01_T1	LC80230062017114LGN00
LC08_L1TP_025006_20170422_20170501_01_T1	LC80250062017112LGN00
LC08_L1TP_022006_20170417_20170501_01_T1	LC80220062017107LGN00
LC08_L1TP_024006_20170415_20170501_01_T1	LC80240062017105LGN00
LC08_L1TP_026006_20170413_20170501_01_T1	LC80260062017103LGN00
LC08_L1TP_023006_20170408_20170414_01_T1	LC80230062017098LGN00
LC08_L1TP_025006_20170406_20170414_01_T1	LC80250062017096LGN00
LC08_L1TP_022006_20170401_20170414_01_T1	LC80220062017091LGN00
LC08_L1TP_024006_20170330_20170414_01_T1	LC80240062017089LGN00
LC08_L1TP_026006_20170328_20170414_01_T1	LC80260062017087LGN00
LC08_L1TP_023006_20170323_20170329_01_T1	LC80230062017082LGN00
LC08_L1TP_025006_20170305_20170316_01_T1	LC80250062017064LGN00
LC08_L1TP_024006_20161005_20170320_01_T1	LC80240062016279LGN01
LC08_L1TP_024006_20160919_20170321_01_T1	LC80240062016263LGN01
LC08_L1TP_026006_20160917_20170321_01_T1	LC80260062016261LGN01
LC08_L1TP_023006_20160912_20170321_01_T1	LC80230062016256LGN01
LC08_L1TP_025006_20160910_20170321_01_T1	LC80250062016254LGN01
LC08_L1TP_023006_20160827_20170321_01_T1	LC80230062016240LGN01
LC08_L1TP_025006_20160825_20170322_01_T1	LC80250062016238LGN01
LC08_L1TP_026006_20160816_20170322_01_T1	LC80260062016229LGN01
LC08_L1TP_023006_20160811_20170322_01_T1	LC80230062016224LGN01
LC08_L1TP_025006_20160809_20170322_01_T1	LC80250062016222LGN01
LC08_L1TP_026006_20160731_20170322_01_T1	LC80260062016213LGN01
LC08_L1TP_083238_20160731_20170322_01_T1	LC80832382016213LGN01
LC08_L1TP_081238_20160716_20170323_01_T1	LC80812382016198LGN01
