LC08_L1TP_016008_20170914_20170928_01_T1	LC80160082017257LGN00
LC08_L1TP_015009_20170907_20170926_01_T1	LC80150092017250LGN00
LC08_L1TP_017008_20170905_20170917_01_T1	LC80170082017248LGN00
LC08_L1TP_017008_20170820_20170826_01_T1	LC80170082017232LGN00
LC08_L1TP_016008_20170813_20180125_01_T1	LC80160082017225LGN01
LC08_L1TP_017008_20170804_20170812_01_T1	LC80170082017216LGN00
LC08_L1TP_081236_20170804_20180202_01_T1	LC80812362017216LGN01
LC08_L1TP_083235_20170803_20170812_01_T1	LC80832352017215LGN00
LC08_L1TP_014009_20170730_20170811_01_T1	LC80140092017211LGN00
LC08_L1TP_016008_20170728_20170810_01_T1	LC80160082017209LGN00
LC08_L1TP_082235_20170727_20170810_01_T1	LC80822352017208LGN00
LC08_L1TP_017008_20170703_20170715_01_T1	LC80170082017184LGN00
LC08_L1TP_081236_20170703_20170715_01_T1	LC80812362017184LGN00
LC08_L1TP_016008_20170626_20170714_01_T1	LC80160082017177LGN00
LC08_L1TP_080236_20170626_20170714_01_T1	LC80802362017177LGN00
LC08_L1TP_015008_20170619_20170629_01_T1	LC80150082017170LGN00
LC08_L1TP_016008_20170610_20170627_01_T1	LC80160082017161LGN00
LC08_L1TP_017008_20170601_20180125_01_T1	LC80170082017152LGN01
LC08_L1TP_016008_20170525_20170614_01_T1	LC80160082017145LGN00
LC08_L1TP_016008_20170509_20170516_01_T1	LC80160082017129LGN00
LC08_L1TP_017008_20170430_20170515_01_T1	LC80170082017120LGN00
LC08_L1TP_015008_20170416_20170501_01_T1	LC80150082017106LGN00
LC08_L1TP_015009_20170416_20170501_01_T1	LC80150092017106LGN00
LC08_L1TP_014009_20170409_20170414_01_T1	LC80140092017099LGN00
LC08_L1TP_016008_20170407_20170414_01_T1	LC80160082017097LGN00
LC08_L1TP_018008_20170405_20170414_01_T1	LC80180082017095LGN00
LC08_L1TP_015008_20170331_20170414_01_T1	LC80150082017090LGN00
LC08_L1TP_015009_20170331_20170414_01_T1	LC80150092017090LGN00
LC08_L1TP_017008_20170329_20170414_01_T1	LC80170082017088LGN00
LC08_L1TP_014009_20170324_20170329_01_T1	LC80140092017083LGN00
LC08_L1TP_017008_20170313_20170328_01_T1	LC80170082017072LGN00
LC08_L1TP_014009_20170308_20170317_01_T1	LC80140092017067LGN00
LC08_L1TP_016008_20170306_20180125_01_T1	LC80160082017065LGN01
LC08_L1TP_018008_20170304_20170316_01_T1	LC80180082017063LGN00
LC08_L1TP_017008_20161004_20170320_01_T1	LC80170082016278LGN01
LC08_L1TP_018008_20160925_20170320_01_T1	LC80180082016269LGN01
LC08_L1TP_015008_20160920_20170321_01_T1	LC80150082016264LGN01
LC08_L1TP_015009_20160920_20170321_01_T1	LC80150092016264LGN01
LC08_L1TP_014009_20160913_20170321_01_T1	LC80140092016257LGN01
LC08_L1TP_016008_20160911_20170321_01_T1	LC80160082016255LGN01
LC08_L1TP_018008_20160909_20170321_01_T1	LC80180082016253LGN01
LC08_L1TP_014009_20160828_20170321_01_T1	LC80140092016241LGN01
LC08_L1TP_014009_20160812_20170322_01_T1	LC80140092016225LGN01
LC08_L1TP_016008_20160810_20170322_01_T1	LC80160082016223LGN01
LC08_L1TP_082235_20160809_20170322_01_T1	LC80822352016222LGN01
LC08_L1TP_083235_20160731_20170322_01_T1	LC80832352016213LGN01
LC08_L1TP_014009_20160727_20170322_01_T1	LC80140092016209LGN01
LC08_L1TP_082235_20160724_20170322_01_T1	LC80822352016206LGN01
LC08_L1TP_015008_20160718_20170323_01_T1	LC80150082016200LGN01
LC08_L1TP_017008_20160716_20170323_01_T1	LC80170082016198LGN01
